Type	POS	Headword	Rank	Freq	Range
kennedy			1320	4	3
kerman			1320	4	1
known			1320	4	4
korkut			1320	4	1
lafçı			1320	4	1
learn			1320	4	4
limbs			1320	4	1
limitation			1320	4	3
list			1320	4	3
little			1320	4	2
location			1320	4	3
longer			1320	4	3
longus			1320	4	1
lot			1320	4	1
luq			1320	4	1
magnesium			1320	4	1
majority			1320	4	2
makes			1320	4	3
maneuvers			1320	4	2
manipulation			1320	4	3
markers			1320	4	3
massaged			1320	4	2
materials			1320	4	3
me			1320	4	2
medication			1320	4	1
metatarsal			1320	4	1
meter			1320	4	1
minimal			1320	4	3
mixed			1320	4	2
modification			1320	4	3
modifying			1320	4	2
mood			1320	4	2
motility			1320	4	1
mov			1320	4	3
move			1320	4	2
multi			1320	4	2
natural			1320	4	2
ncaa			1320	4	1
negeri			1320	4	1
network			1320	4	2
ng			1320	4	1
nia			1320	4	1
nurse			1320	4	1
oblique			1320	4	1
odabaş			1320	4	1
off			1320	4	3
offers			1320	4	2
ongoing			1320	4	3
otago			1320	4	1
outlined			1320	4	2
park			1320	4	2
past			1320	4	3
pays			1320	4	1
performing			1320	4	2
peristaltic			1320	4	1
peroneus			1320	4	1
personal			1320	4	3
physiotherapy			1320	4	1
policymakers			1320	4	1
previously			1320	4	2
private			1320	4	2
promotion			1320	4	2
provider			1320	4	1
qaem			1320	4	1
qualifications			1320	4	1
randomised			1320	4	2
real			1320	4	3
reduces			1320	4	2
refer			1320	4	2
reflex			1320	4	1
regions			1320	4	2
relevant			1320	4	4
remain			1320	4	3
reports			1320	4	2
residing			1320	4	2
resources			1320	4	3
respectively			1320	4	2
responsible			1320	4	3
retest			1320	4	2
rev			1320	4	3
reviewed			1320	4	4
rhomboids			1320	4	1
ribs			1320	4	1
rs			1320	4	2
sacrum			1320	4	1
samples			1320	4	3
saunders			1320	4	3
sclerosis			1320	4	1
sectional			1320	4	1
sedentary			1320	4	2
shapes			1320	4	1
since			1320	4	2
single			1320	4	4
solution			1320	4	2
southern			1320	4	1
speak			1320	4	3
spinae			1320	4	1
square			1320	4	2
squared			1320	4	1
standards			1320	4	2
statistical			1320	4	2
stimulate			1320	4	3
strengthen			1320	4	2
students			1320	4	3
sufficient			1320	4	3
sure			1320	4	2
syrup			1320	4	1
tailored			1320	4	3
taken			1320	4	3
teams			1320	4	2
telephone			1320	4	2
themes			1320	4	1
theory			1320	4	2
things			1320	4	1
tibial			1320	4	1
track			1320	4	2
transverse			1320	4	2
trp			1320	4	1
trustworthy			1320	4	2
tuberosity			1320	4	1
ultimately			1320	4	3
unilateral			1320	4	1
updated			1320	4	3
uses			1320	4	1
utilizing			1320	4	3
uzun			1320	4	1
valued			1320	4	2
variation			1320	4	1
varies			1320	4	2
variety			1320	4	3
vijay			1320	4	1
vouchers			1320	4	1
wanted			1320	4	2
ward			1320	4	1
whom			1320	4	2
willing			1320	4	1
world			1320	4	3
wouldn			1320	4	1
yes			1320	4	1
yoga			1320	4	2
çevik			1320	4	2
ö			1320	4	1
özden			1320	4	1
aa			1611	3	3
ab			1611	3	2
accordingly			1611	3	2
achieve			1611	3	3
actively			1611	3	2
activities			1611	3	2
add			1611	3	2
adds			1611	3	1
adhering			1611	3	2
adolescent			1611	3	1
advance			1611	3	2
adıgüzel			1611	3	1
affordability			1611	3	1
ageing			1611	3	2
ai			1611	3	2
align			1611	3	3
allied			1611	3	2
alpha			1611	3	1
alterations			1611	3	2
altern			1611	3	2
ambiguity			1611	3	3
anatomical			1611	3	2
ancova			1611	3	1
angle			1611	3	1
anova			1611	3	1
anxiety			1611	3	2
appears			1611	3	2
approval			1611	3	3
arlı			1611	3	1
arm			1611	3	1
arms			1611	3	3
aromatherapy			1611	3	2
articulated			1611	3	2
ashwin			1611	3	1
assessing			1611	3	1
assistant			1611	3	1
associate			1611	3	1
attempts			1611	3	3
attributed			1611	3	3
attuned			1611	3	1
auckland			1611	3	1
australia			1611	3	1
avcı			1611	3	1
away			1611	3	1
background			1611	3	3
bartering			1611	3	1
basic			1611	3	3
becoming			1611	3	2
begin			1611	3	1
behavior			1611	3	3
belagavi			1611	3	1
believe			1611	3	2
big			1611	3	3
bilgiç			1611	3	1
biomechanical			1611	3	3
bir			1611	3	1
bodyworkers			1611	3	1
breast			1611	3	1
broad			1611	3	3
building			1611	3	3
calculated			1611	3	2
cambron			1611	3	2
camps			1611	3	1
capture			1611	3	3
carried			1611	3	3
categorized			1611	3	2
causes			1611	3	2
cc			1611	3	1
cell			1611	3	1
center			1611	3	1
central			1611	3	3
charge			1611	3	2
chi			1611	3	1
children			1611	3	1
choi			1611	3	1
circular			1611	3	2
claim			1611	3	1
clarify			1611	3	1
clearer			1611	3	3
clinically			1611	3	3
cohen			1611	3	1
comfortable			1611	3	2
commencement			1611	3	2
compare			1611	3	3
completely			1611	3	2
conceptual			1611	3	2
considerable			1611	3	2
constant			1611	3	2
continuum			1611	3	2
contributed			1611	3	3
conversation			1611	3	2
correct			1611	3	2
cover			1611	3	1
covered			1611	3	1
cr			1611	3	3
cronbach			1611	3	1
ctcp			1611	3	3
cunnington			1611	3	2
database			1611	3	2
date			1611	3	2
debate			1611	3	2
decision			1611	3	2
decisions			1611	3	2
declare			1611	3	3
decline			1611	3	1
decrease			1611	3	1
define			1611	3	1
definitely			1611	3	1
demirbağ			1611	3	1
demonstrate			1611	3	2
demonstrating			1611	3	1
depends			1611	3	3
depression			1611	3	3
dev			1611	3	1
deviation			1611	3	2
devices			1611	3	2
dickinson			1611	3	2
didn			1611	3	1
dimensions			1611	3	3
directly			1611	3	3
discuss			1611	3	3
discussions			1611	3	2
distress			1611	3	1
distressing			1611	3	2
diverse			1611	3	2
don			1611	3	1
donated			1611	3	1
drivers			1611	3	1
drugs			1611	3	1
durmuş			1611	3	1
ease			1611	3	3
easier			1611	3	2
easy			1611	3	3
echoed			1611	3	1
editorial			1611	3	1
effectively			1611	3	2
eight			1611	3	3
elements			1611	3	2
else			1611	3	2
emmanuel			1611	3	1
emphasize			1611	3	2
emt			1611	3	1
encountered			1611	3	3
enhanced			1611	3	3
environment			1611	3	3
error			1611	3	3
errors			1611	3	1
estimated			1611	3	1
ethical			1611	3	3
etiology			1611	3	1
ever			1611	3	2
everybody			1611	3	1
exacerbate			1611	3	1
excluded			1611	3	3
existing			1611	3	3
expectation			1611	3	1
expertise			1611	3	2
explained			1611	3	3
explanation			1611	3	3
express			1611	3	2
extend			1611	3	2
extended			1611	3	2
extends			1611	3	2
extensive			1611	3	2
eğitim			1611	3	1
facilitating			1611	3	3
far			1611	3	2
finally			1611	3	3
flatulence			1611	3	2
floor			1611	3	2
followed			1611	3	3
forms			1611	3	2
fragmented			1611	3	1
full			1611	3	3
galenos			1611	3	1
gastroenteroloji			1611	3	1
grade			1611	3	1
grounded			1611	3	2
guidance			1611	3	3
hastalarında			1611	3	1
heard			1611	3	2
helped			1611	3	2
here			1611	3	3
highlighted			1611	3	3
his			1611	3	2
hold			1611	3	2
hormones			1611	3	1
hospitals			1611	3	1
hour			1611	3	2
hypothesized			1611	3	2
ii			1611	3	2
illustrate			1611	3	1
immediately			1611	3	2
impair			1611	3	3
inactivity			1611	3	1
inadequate			1611	3	1
inclusive			1611	3	2
individualized			1611	3	1
induced			1611	3	2
infections			1611	3	2
initially			1611	3	3
instalments			1611	3	1
instead			1611	3	1
instrument			1611	3	2
instruments			1611	3	2
integral			1611	3	2
integrates			1611	3	3
integrating			1611	3	2
intent			1611	3	1
intentional			1611	3	2
interpersonal			1611	3	1
interplay			1611	3	3
interpreted			1611	3	2
interviewed			1611	3	1
involvement			1611	3	1
irmums			1611	3	1
i̇zmir			1611	3	1
jamieson			1611	3	2
jani			1611	3	1
jose			1611	3	1
jung			1611	3	2
kind			1611	3	1
knew			1611	3	1
konstipasyonun			1611	3	1
kronik			1611	3	1
lamas			1611	3	1
lasting			1611	3	3
led			1611	3	3
length			1611	3	2
ligament			1611	3	1
likert			1611	3	1
limits			1611	3	2
linguistic			1611	3	1
local			1611	3	2
lumbar			1611	3	1
ma			1611	3	3
managing			1611	3	3
mapped			1611	3	1
maps			1611	3	1
marsicano			1611	3	1
mcilfatrick			1611	3	1
meant			1611	3	2
meinds			1611	3	1
members			1611	3	3
met			1611	3	2
metabolic			1611	3	2
methodological			1611	3	1
mh			1611	3	3
miles			1611	3	1
mindfulness			1611	3	2
mm			1611	3	2
mobilization			1611	3	1
models			1611	3	2
monitored			1611	3	2
month			1611	3	3
months			1611	3	2
morgan			1611	3	1
moving			1611	3	3
ms			1611	3	3
multifactorial			1611	3	1
must			1611	3	3
nagar			1611	3	1
national			1611	3	2
nd			1611	3	2
necessity			1611	3	2
needling			1611	3	2
nehru			1611	3	1
neither			1611	3	2
neonatal			1611	3	2
neonates			1611	3	1
netherlands			1611	3	1
neurosci			1611	3	2
neutral			1611	3	2
nevertheless			1611	3	2
nick			1611	3	1
nikita			1611	3	1
nk			1611	3	1
nonspecific			1611	3	2
noticed			1611	3	3
novel			1611	3	2
novita			1611	3	1
observations			1611	3	3
obstruction			1611	3	1
obtained			1611	3	2
occur			1611	3	3
occurrence			1611	3	2
oil			1611	3	2
old			1611	3	2
opening			1611	3	2
orally			1611	3	1
organization			1611	3	2
ourselves			1611	3	2
outside			1611	3	2
owing			1611	3	2
pa			1611	3	3
paired			1611	3	1
partial			1611	3	1
participate			1611	3	3
participating			1611	3	2
parts			1611	3	1
party			1611	3	1
passage			1611	3	1
pastor			1611	3	1
pathophysiology			1611	3	1
pathways			1611	3	3
patil			1611	3	1
payments			1611	3	1
peer			1611	3	3
percentages			1611	3	1
pereira			1611	3	1
placed			1611	3	1
plan			1611	3	3
plans			1611	3	1
plos			1611	3	2
pone			1611	3	2
presentation			1611	3	2
princia			1611	3	1
probably			1611	3	2
procedures			1611	3	2
professionalism			1611	3	1
professor			1611	3	1
progress			1611	3	3
promotes			1611	3	1
proper			1611	3	3
proportion			1611	3	1
provides			1611	3	3
pujari			1611	3	1
quantitative			1611	3	3
questionnaire			1611	3	1
random			1611	3	2
randomization			1611	3	2
rapport			1611	3	2
rasouli			1611	3	1
read			1611	3	1
reasons			1611	3	2
rec			1611	3	1
receptors			1611	3	2
recognizing			1611	3	2
recruited			1611	3	2
recruitment			1611	3	2
rectum			1611	3	1
redeem			1611	3	1
reductions			1611	3	2
reflected			1611	3	3
reflection			1611	3	2
reflexology			1611	3	2
regard			1611	3	2
rehabil			1611	3	2
relationships			1611	3	2
relieve			1611	3	2
replicated			1611	3	2
replication			1611	3	1
represent			1611	3	1
represents			1611	3	2
require			1611	3	3
resilience			1611	3	2
reveal			1611	3	1
rich			1611	3	2
robust			1611	3	3
room			1611	3	2
routine			1611	3	3
routines			1611	3	2
rules			1611	3	1
sacrotuberous			1611	3	1
saka			1611	3	1
saying			1611	3	1
scales			1611	3	3
scheduled			1611	3	2
screened			1611	3	1
se			1611	3	2
secretion			1611	3	2
seek			1611	3	1
semi			1611	3	2
senior			1611	3	1
sensitivity			1611	3	1
sentiment			1611	3	1
seyed			1611	3	1
shape			1611	3	1
shaped			1611	3	2
shaping			1611	3	1
sharpe			1611	3	2
sherman			1611	3	2
shevlin			1611	3	1
shoulders			1611	3	2
sided			1611	3	1
sign			1611	3	3
signal			1611	3	2
similar			1611	3	3
simons			1611	3	1
sit			1611	3	1
sitting			1611	3	2
six			1611	3	3
sj			1611	3	2
sliding			1611	3	2
sole			1611	3	2
somebody			1611	3	1
something			1611	3	2
sometimes			1611	3	3
source			1611	3	3
space			1611	3	2
speaks			1611	3	1
spinal			1611	3	2
statement			1611	3	1
statistics			1611	3	2
stools			1611	3	2
studied			1611	3	2
styles			1611	3	3
subjects			1611	3	1
success			1611	3	2
successful			1611	3	2
summary			1611	3	1
suppositories			1611	3	1
sustainable			1611	3	3
symposium			1611	3	2
tactile			1611	3	1
targeted			1611	3	2
taxonomies			1611	3	2
taşpinar			1611	3	1
tel			1611	3	3
th			1611	3	2
thank			1611	3	2
thinking			1611	3	2
thumb			1611	3	1
timing			1611	3	2
titled			1611	3	1
together			1611	3	2
tolerated			1611	3	2
took			1611	3	3
tournaments			1611	3	1
trainers			1611	3	1
translation			1611	3	2
travillian			1611	3	2
truly			1611	3	2
turkey			1611	3	2
tw			1611	3	3
türkay			1611	3	1
unable			1611	3	3
uncertain			1611	3	3
unclear			1611	3	2
underscore			1611	3	2
underscoring			1611	3	3
uniform			1611	3	2
unit			1611	3	2
unlike			1611	3	3
upward			1611	3	2
usual			1611	3	3
usually			1611	3	1
valid			1611	3	2
validate			1611	3	1
validated			1611	3	2
validation			1611	3	2
van			1611	3	3
variables			1611	3	3
varied			1611	3	3
versus			1611	3	1
victoria			1611	3	1
views			1611	3	1
voice			1611	3	1
ways			1611	3	2
werth			1611	3	1
whatever			1611	3	2
whereas			1611	3	2
whitney			1611	3	1
younger			1611	3	2
yücel			1611	3	1
z			1611	3	2
çağlar			1611	3	1
above			2078	2	1
academic			2078	2	1
acceptable			2078	2	2
accepting			2078	2	1
achieves			2078	2	2
acknowledging			2078	2	2
adequately			2078	2	2
adjunct			2078	2	1
adjustments			2078	2	2
admitted			2078	2	1
advances			2078	2	2
advocated			2078	2	2
again			2078	2	2
aghebati			2078	2	2
agree			2078	2	1
ahmadinejad			2078	2	2
aids			2078	2	1
aitchison			2078	2	1
akın			2078	2	1
albu			2078	2	1
alike			2078	2	1
alleviating			2078	2	2
alleviation			2078	2	2
almost			2078	2	2
amanda			2078	2	1
anal			2078	2	2
ankle			2078	2	2
annals			2078	2	1
anne			2078	2	1
anticholinergics			2078	2	1
anyone			2078	2	2
apay			2078	2	1
app			2078	2	2
appeared			2078	2	2
appendix			2078	2	1
applicability			2078	2	1
approved			2078	2	2
aren			2078	2	1
arose			2078	2	2
art			2078	2	2
arthritis			2078	2	1
asking			2078	2	2
aslan			2078	2	2
aspects			2078	2	2
aspiration			2078	2	1
assistance			2078	2	1
assurance			2078	2	1
atlas			2078	2	1
automated			2078	2	2
availability			2078	2	2
avoided			2078	2	1
ağar			2078	2	1
bahardoust			2078	2	2
bakım			2078	2	1
bakır			2078	2	1
barrier			2078	2	1
bartlett			2078	2	1
bas			2078	2	1
baskwill			2078	2	1
baxter			2078	2	1
began			2078	2	1
behavioral			2078	2	2
beliefs			2078	2	2
belleville			2078	2	1
bellini			2078	2	1
belonging			2078	2	1
bezmialem			2078	2	1
bias			2078	2	2
billion			2078	2	1
bills			2078	2	1
biofeedback			2078	2	1
biomarkers			2078	2	1
blind			2078	2	1
block			2078	2	2
blur			2078	2	1
bodies			2078	2	1
bookwork			2078	2	1
boosting			2078	2	1
bove			2078	2	1
bpt			2078	2	1
brain			2078	2	1
bring			2078	2	2
brown			2078	2	2
built			2078	2	2
busy			2078	2	1
calculation			2078	2	1
calf			2078	2	1
calm			2078	2	1
canada			2078	2	1
caner			2078	2	1
capable			2078	2	1
captured			2078	2	1
career			2078	2	1
carry			2078	2	1
categories			2078	2	2
causality			2078	2	2
caused			2078	2	2
cautioned			2078	2	1
ce			2078	2	2
centers			2078	2	2
cfrt			2078	2	1
challenging			2078	2	1
chance			2078	2	2
cherkin			2078	2	1
chest			2078	2	2
choice			2078	2	2
chooses			2078	2	2
choosing			2078	2	1
chosen			2078	2	1
chronological			2078	2	2
clarifying			2078	2	2
classified			2078	2	1
classifying			2078	2	1
cochrane			2078	2	2
code			2078	2	1
coefficients			2078	2	2
coffee			2078	2	1
coggrave			2078	2	1
cognizant			2078	2	1
coherent			2078	2	2
collectively			2078	2	1
colorectal			2078	2	1
combines			2078	2	2
combining			2078	2	2
comfort			2078	2	2
comment			2078	2	2
comorbid			2078	2	1
companies			2078	2	1
compassionate			2078	2	1
compensatory			2078	2	1
competence			2078	2	1
competencies			2078	2	1
complete			2078	2	2
completion			2078	2	1
complicate			2078	2	2
complication			2078	2	1
compromise			2078	2	2
conceivable			2078	2	2
concise			2078	2	1
concurrent			2078	2	2
confidence			2078	2	2
confirmatory			2078	2	1
consistently			2078	2	2
consort			2078	2	1
constructs			2078	2	1
consumed			2078	2	1
consuming			2078	2	2
containing			2078	2	2
contemporary			2078	2	1
contributions			2078	2	2
contributors			2078	2	2
cooperation			2078	2	2
corrective			2078	2	1
covariance			2078	2	1
covariates			2078	2	1
covering			2078	2	1
created			2078	2	2
cues			2078	2	1
culturally			2078	2	2
culture			2078	2	2
cultures			2078	2	1
cupping			2078	2	2
cut			2078	2	2
databases			2078	2	2
dating			2078	2	1
davies			2078	2	1
death			2078	2	2
decade			2078	2	1
decades			2078	2	2
declares			2078	2	2
declined			2078	2	1
dedeli			2078	2	1
deemed			2078	2	2
defecations			2078	2	1
defines			2078	2	2
definitive			2078	2	2
degree			2078	2	2
demographics			2078	2	1
demonstrates			2078	2	2
depend			2078	2	2
deputy			2078	2	1
describes			2078	2	2
describing			2078	2	1
details			2078	2	2
değerlendirilmesi			2078	2	1
dialogue			2078	2	1
diarrhea			2078	2	2
difficulty			2078	2	2
diminishing			2078	2	1
direct			2078	2	2
directed			2078	2	2
directors			2078	2	1
directory			2078	2	1
discounted			2078	2	1
discussed			2078	2	2
discussing			2078	2	1
dissemination			2078	2	2
dissertation			2078	2	1
distribution			2078	2	2
disturbances			2078	2	2
divided			2078	2	1
dixon			2078	2	1
documented			2078	2	1
dominant			2078	2	1
donnan			2078	2	1
doran			2078	2	1
downward			2078	2	1
dozens			2078	2	1
dr			2078	2	1
draw			2078	2	2
drawing			2078	2	1
drawn			2078	2	2
driven			2078	2	2
drug			2078	2	2
durgun			2078	2	1
durumları			2078	2	1
editor			2078	2	1
eds			2078	2	2
educ			2078	2	2
educations			2078	2	1
ef			2078	2	1
effleurage			2078	2	1
effort			2078	2	2
eg			2078	2	1
el			2078	2	2
element			2078	2	2
eliminate			2078	2	2
elsevier			2078	2	2
emotion			2078	2	1
emotions			2078	2	1
emphasized			2078	2	2
encounter			2078	2	2
enemas			2078	2	1
engagement			2078	2	1
entity			2078	2	2
environ			2078	2	1
epidemiology			2078	2	2
establish			2078	2	1
establishing			2078	2	2
etkinliği			2078	2	1
europe			2078	2	1
evening			2078	2	2
everyone			2078	2	2
everything			2078	2	2
evoke			2078	2	1
evolve			2078	2	2
exactly			2078	2	2
examined			2078	2	2
examiners			2078	2	1
examines			2078	2	2
exchange			2078	2	1
excretion			2078	2	1
exertional			2078	2	1
exerts			2078	2	1
exhaustion			2078	2	1
expand			2078	2	1
experiences			2078	2	2
explain			2078	2	1
explicitly			2078	2	2
exploration			2078	2	1
explores			2078	2	2
exploring			2078	2	1
expressed			2078	2	2
expressing			2078	2	1
expression			2078	2	2
extending			2078	2	1
faced			2078	2	1
facilities			2078	2	2
facing			2078	2	1
fact			2078	2	2
failure			2078	2	1
faktörler			2078	2	1
fall			2078	2	2
farzadfard			2078	2	2
fear			2078	2	2
february			2078	2	2
feeding			2078	2	1
fernández			2078	2	1
fewer			2078	2	1
fibromyalgia			2078	2	1
fibula			2078	2	1
fibular			2078	2	1
fifth			2078	2	1
file			2078	2	1
finances			2078	2	1
flaws			2078	2	1
flex			2078	2	1
flow			2078	2	1
focusing			2078	2	2
fog			2078	2	1
forehead			2078	2	1
formal			2078	2	2
formally			2078	2	2
fpsyg			2078	2	2
fragmentation			2078	2	1
freely			2078	2	1
frequencies			2078	2	1
friction			2078	2	1
friday			2078	2	1
fullness			2078	2	2
fundamental			2078	2	2
gas			2078	2	1
gave			2078	2	2
ge			2078	2	2
gender			2078	2	2
generative			2078	2	1
gently			2078	2	2
geriatric			2078	2	2
gets			2078	2	2
ghazani			2078	2	2
ginger			2078	2	1
give			2078	2	1
global			2078	2	2
globally			2078	2	2
gneezy			2078	2	1
gone			2078	2	1
goodman			2078	2	1
government			2078	2	1
gowan			2078	2	1
gradually			2078	2	2
great			2078	2	1
greatly			2078	2	2
guideline			2078	2	1
gökbel			2078	2	2
güncel			2078	2	1
gürol			2078	2	1
hall			2078	2	1
happens			2078	2	1
harris			2078	2	1
hastalarda			2078	2	1
heart			2078	2	2
heavy			2078	2	1
hemodialysis			2078	2	1
hence			2078	2	1
highlight			2078	2	2
him			2078	2	2
hinder			2078	2	1
hines			2078	2	1
hisar			2078	2	1
historical			2078	2	2
honor			2078	2	1
hospitalization			2078	2	1
host			2078	2	1
house			2078	2	2
humans			2078	2	2
huzurevinde			2078	2	1
ibm			2078	2	1
ibuprofen			2078	2	1
identification			2078	2	1
iii			2078	2	1
ijerph			2078	2	1
ilişkili			2078	2	1
ilişkisi			2078	2	1
ilovu			2078	2	1
immunity			2078	2	1
impaired			2078	2	1
implicit			2078	2	1
importantly			2078	2	2
improves			2078	2	2
improvises			2078	2	1
inability			2078	2	2
incidents			2078	2	1
inconsistency			2078	2	2
incontinence			2078	2	1
incorporating			2078	2	2
independent			2078	2	2
indicate			2078	2	1
indirectly			2078	2	2
individually			2078	2	1
indonesian			2078	2	1
inductive			2078	2	1
influences			2078	2	2
inform			2078	2	2
informative			2078	2	1
infrastructure			2078	2	2
initiative			2078	2	1
input			2078	2	2
instance			2078	2	2
institutional			2078	2	2
intan			2078	2	1
integrative			2078	2	2
interests			2078	2	1
interprofessional			2078	2	1
intestine			2078	2	1
intolerance			2078	2	1
intraclass			2078	2	2
introduced			2078	2	2
intubation			2078	2	1
intuition			2078	2	1
invest			2078	2	1
investigator			2078	2	1
investing			2078	2	2
involve			2078	2	2
ischemic			2078	2	1
italian			2078	2	1
ithc			2078	2	1
itself			2078	2	2
i̇			2078	2	2
ja			2078	2	2
jj			2078	2	2
joint			2078	2	2
jr			2078	2	1
judge			2078	2	2
judgment			2078	2	1
jull			2078	2	1
kaher			2078	2	1
kahraman			2078	2	1
kalichman			2078	2	1
kalitesi			2078	2	1
kanpumasatsu			2078	2	1
kanser			2078	2	1
karnataka			2078	2	1
katip			2078	2	1
ke			2078	2	1
killer			2078	2	1
kneading			2078	2	1
kohrt			2078	2	1
koren			2078	2	1
kubat			2078	2	1
kuzu			2078	2	1
kş			2078	2	1
labeled			2078	2	2
lacked			2078	2	2
lacks			2078	2	1
landscape			2078	2	1
las			2078	2	1
leave			2078	2	2
leg			2078	2	1
let			2078	2	1
levator			2078	2	1
lexicon			2078	2	1
limit			2078	2	1
limiting			2078	2	1
liver			2078	2	1
living			2078	2	2
llq			2078	2	1
localized			2078	2	1
losing			2078	2	1
loss			2078	2	2
love			2078	2	2
loyalist			2078	2	1
lumpy			2078	2	1
lunge			2078	2	1
lying			2078	2	1
macdougall			2078	2	1
mackay			2078	2	1
male			2078	2	1
manage			2078	2	2
manifestations			2078	2	1
manip			2078	2	1
manz			2078	2	1
marginal			2078	2	1
mason			2078	2	1
massageanz			2078	2	1
massaging			2078	2	2
master			2078	2	1
material			2078	2	2
matter			2078	2	2
matters			2078	2	1
maulana			2078	2	1
maybe			2078	2	1
mcclurge			2078	2	1
mechanism			2078	2	2
mehdipoor			2078	2	2
member			2078	2	1
menekşe			2078	2	2
mention			2078	2	2
meridians			2078	2	1
messages			2078	2	2
metabolism			2078	2	1
midwives			2078	2	1
minimum			2078	2	1
minor			2078	2	1
missed			2078	2	2
missing			2078	2	1
ml			2078	2	2
mobile			2078	2	2
mode			2078	2	2
modifications			2078	2	1
modulation			2078	2	2
moment			2078	2	2
mornings			2078	2	1
mouth			2078	2	1
mpt			2078	2	1
mtbok			2078	2	1
multidimensional			2078	2	2
munk			2078	2	2
musculoskelet			2078	2	1
myself			2078	2	1
name			2078	2	2
naming			2078	2	2
narrative			2078	2	2
nausea			2078	2	1
navigating			2078	2	2
needing			2078	2	1
net			2078	2	2
neurogenic			2078	2	1
neuroimmune			2078	2	1
neuromuscular			2078	2	1
neuroscience			2078	2	1
neurosurgical			2078	2	1
never			2078	2	1
ni			2078	2	1
night			2078	2	1
nightingale			2078	2	2
nih			2078	2	2
none			2078	2	2
normally			2078	2	1
normative			2078	2	1
norrie			2078	2	1
norton			2078	2	1
notable			2078	2	2
notably			2078	2	2
note			2078	2	2
noting			2078	2	1
numbers			2078	2	1
obesity			2078	2	1
object			2078	2	1
objectives			2078	2	2
obscure			2078	2	1
occurred			2078	2	2
official			2078	2	2
onset			2078	2	2
opioids			2078	2	1
organizations			2078	2	1
organize			2078	2	1
original			2078	2	2
orthopaedic			2078	2	1
osteoarthritis			2078	2	1
osteopathy			2078	2	2
ovayolu			2078	2	1
overlap			2078	2	2
oxytocin			2078	2	1
ozdemir			2078	2	1
pakyüz			2078	2	1
palliative			2078	2	1
parameters			2078	2	2
participation			2078	2	2
parties			2078	2	1
passive			2078	2	2
pathway			2078	2	1
pearson			2078	2	2
pediatrics			2078	2	1
peg			2078	2	2
pehlivan			2078	2	1
pensioners			2078	2	1
performance			2078	2	2
perhaps			2078	2	1
peripheral			2078	2	1
permission			2078	2	1
perpendicular			2078	2	1
persons			2078	2	2
perspectives			2078	2	2
petrissage			2078	2	1
peñas			2078	2	1
pharmaceutical			2078	2	2
phase			2078	2	2
philosophical			2078	2	1
physiother			2078	2	1
piloted			2078	2	1
planning			2078	2	1
plus			2078	2	2
pm			2078	2	2
pmcid			2078	2	2
pmid			2078	2	2
pnw			2078	2	2
pooling			2078	2	1
porcino			2078	2	1
positions			2078	2	2
powerful			2078	2	1
ppt			2078	2	1
practiced			2078	2	2
precise			2078	2	2
precision			2078	2	2
prefer			2078	2	2
pregnancy			2078	2	2
prepared			2078	2	2
presented			2078	2	1
presents			2078	2	2
preventive			2078	2	1
prices			2078	2	1
pricing			2078	2	1
principal			2078	2	1
priority			2078	2	1
problem			2078	2	2
progressive			2078	2	1
prone			2078	2	1
propelled			2078	2	1
propose			2078	2	1
prosocial			2078	2	1
providers			2078	2	2
psychometric			2078	2	1
psychosocial			2078	2	2
publication			2078	2	2
pzac			2078	2	1
qld			2078	2	1
qualities			2078	2	2
quantity			2078	2	1
question			2078	2	1
quite			2078	2	2
radiating			2078	2	1
rapidly			2078	2	2
rare			2078	2	1
readers			2078	2	2
receives			2078	2	2
recipients			2078	2	1
reciprocate			2078	2	1
recommend			2078	2	2
reconsolidation			2078	2	1
recording			2078	2	2
refine			2078	2	1
regardless			2078	2	2
registry			2078	2	2
regulatory			2078	2	1
rehabilitation			2078	2	2
reinforces			2078	2	2
reinforcing			2078	2	1
relation			2078	2	1
relax			2078	2	1
relaxed			2078	2	2
reliance			2078	2	1
relieving			2078	2	2
rely			2078	2	1
relying			2078	2	1
remaining			2078	2	2
rep			2078	2	2
researchgate			2078	2	2
reset			2078	2	1
residents			2078	2	2
restless			2078	2	1
restorative			2078	2	1
resulted			2078	2	2
retelling			2078	2	1
rhythmic			2078	2	1
richness			2078	2	1
rlq			2078	2	1
rmsea			2078	2	1
roles			2078	2	1
rome			2078	2	1
round			2078	2	2
rp			2078	2	2
ruq			2078	2	1
sa			2078	2	1
sacrolumbar			2078	2	1
sadeghi			2078	2	2
safely			2078	2	2
sampling			2078	2	1
saw			2078	2	2
saza			2078	2	2
scapulae			2078	2	1
scheduling			2078	2	2
schleip			2078	2	1
scholars			2078	2	2
scm			2078	2	1
sd			2078	2	2
searched			2078	2	2
sectors			2078	2	2
sefton			2078	2	1
select			2078	2	2
selection			2078	2	2
sensations			2078	2	1
sensing			2078	2	2
sensory			2078	2	1
separate			2078	2	2
series			2078	2	1
serious			2078	2	1
serve			2078	2	2
seven			2078	2	2
seventh			2078	2	1
sex			2078	2	1
sga			2078	2	1
share			2078	2	2
shea			2078	2	1
shift			2078	2	2
shorten			2078	2	1
shortens			2078	2	1
shoulder			2078	2	1
silveira			2078	2	1
skills			2078	2	2
skin			2078	2	1
slight			2078	2	2
sm			2078	2	2
sneak			2078	2	1
soc			2078	2	2
society			2078	2	2
socioeconomic			2078	2	1
solid			2078	2	2
soon			2078	2	1
sotoudeheian			2078	2	2
specialist			2078	2	2
specified			2078	2	1
